,Title,Subtitle,Link
0,IT'S OVER?, Ben Affleck moved out of home with JLo 'weeks ago' amid split rumors,https://www.the-sun.com/entertainment/11402479/ben-affleck-jennifer-lopez-moved-out-split-divorce/
1,HIGHWAY HORROR, Crash kills 6 as 10 rushed to hospital - twisted metal strewn across highway,https://www.the-sun.com/news/11402908/horror-us-20-crash-idaho-falls-multiple-dead/
2,'NEW HEIGHTS' , Former Nordstrom CEO dead after leading clothing store to US dominance,https://www.the-sun.com/news/11404399/bruce-nordstrom-former-ceo-dead-cause-of-death/
3,KNIFE EDGE, Biden and Trump neck & neck in new poll as voters reveal their voting priorities,https://www.the-sun.com/news/11389055/joe-biden-donald-trump-us-election-poll/
4,'APPY DAYS, The U.S. Sun launches app to get instant access to the biggest stories & videos,https://www.the-sun.com/news/11272101/the-us-sun-app-how-to-download/
5,DRUG HELL, High-strength fentanyl pills 'are flooding streets & they're impossible to quit',https://www.the-sun.com/news/11395247/super-strength-fentanyl-pills-flooding-streets-skin-ripping-off/
6,BIG SPENDER , Travis Kelce spends $81k on designer gear during luxury Paris shopping spree,https://www.the-sun.com/sport/11395920/travis-kelce-taylor-swift-paris-shopping-spree/
7,MONEY WOES, More than 40% of Americans feel poorer today than in 2020 in blow for Biden,https://www.the-sun.com/news/11385488/joe-biden-donald-trump-economy-money-election/
8,NEW PICKS, American Pickers star Frank Fritz's Illinois store's new vintage items ,https://www.the-sun.com/tv/11396261/frank-fritz-american-pickers-antique-shop-new-finds-conservatorship/
9,CANNES YOU SEE IT?, Eva Longoria suffers wardrobe malfunction on red carpet,https://www.the-sun.com/entertainment/11403044/eva-longoria-wardrobe-malfunction-red-carpet-cannes/
10,BATTLE UP, Live updates from the FNCS 2024 Major 2 grand finals,https://www.the-sun.com/tech/11402242/fncs-live-fortnite-major-2-grand-finals-leaderboard/
11,BARGAIN BOOST, Bestselling Boost Lab Neck Firming Serum launches in US for just $30,https://www.the-sun.com/shopping/11230126/boost-lab-neck-firming-serum/
12,SEXY SUPPS," ""I’m a Ferrari running on all cylinders,"" women say after trying Girls Get Off",https://www.the-sun.com/shopping/11137529/girls-get-off-libido-supplements/
13,‘HEARTBREAKING’, Ted Cruz breaks silence on adviser's death after body found near her home,https://www.the-sun.com/news/11403940/ted-cruz-breaks-silence-alice-stewart-death/
14,GAME ON, Game show fans shocked by ABC’s ‘insane’ casting application for new series,https://www.the-sun.com/tv/11404293/lucky-thirteen-shaq-gina-rodriguez-abc-game-show/
15,FLIGHT TRAGEDY, My dog died after airline put him on wrong flight - I'm fighting for new law,https://www.the-sun.com/news/11400905/dog-joca-dies-airline-wrong-airport/
16,HOAX HORROR, AI bot cloned my voice in hoax - my friend panicked & made a terrible mistake,https://www.the-sun.com/lifestyle/11400016/ai-scam-hoax-clone-voice-fooled-friend/
17,WAR CRY, Fury says Usyk got decision as 'his country's at war so people are siding with him',https://www.the-sun.com/sport/11404122/tyson-fury-ukraine-war-judges-defeat-oleksandr-usyk/
18,STOLEN JEWELS, Daughter of serial killer victim says missing necklace fueled suspicions,https://www.the-sun.com/news/11384437/pillowcase-murders-billy-chemirmir-necklace-theft-doris-gleason/
19,MYSTIC MEG, A positive try-anything sector means there is no stopping your dreams,https://www.the-sun.com/lifestyle/11403585/horoscope-today-daily-star-sign-mystic-meg-may-19/
20,JAW-DROPPING, Usyk rushed to hospital with broken jaw as he has to be carried after Fury win,https://www.the-sun.com/sport/11404040/oleksandr-usyk-hospital-broken-jaw-tyson-fury/
21,THE END, Barnes & Noble closing location after 23 years 'with great sadness',https://www.the-sun.com/news/11402595/barnes-and-noble-closing-location-glen-allen-virginia/
22,BIG MONEY," Deadline looming to apply for up to $1,031 in unclaimed IRS payments",https://www.the-sun.com/money/11311854/stimulus-check-live-updates-2024/
23,FREE COINS, Best new sweepstakes casinos - May 2024,https://www.the-sun.com/social-casino/11006958/new-sweepstakes-casinos/
24,SWEEP DREAMS, Best sweepstakes casino sites - Best US social casinos for 2024,https://www.the-sun.com/social-casino/8709497/us-sweepstakes-casinos/
